제목,평점,스토리작가,그림작가,업데이트 년도,형식,장르,이용가,요약,태그,조회순
신의 언어,9.71,장래혁,장래혁,2021,스토리,판타지,12세 이용가,퇴마계의 신개념 영웅!프로그래머 난새의 마계 전투가 시작된다!,"판타지,완결판타지",120
문유,9.96,조석,조석,2017,스토리,판타지,12세 이용가,지구가 멸망했다. 나는 혼자 달에 있다.<마음의 소리> 조석의 우주를 넘나드는 판타지 시크 개그!!,"판타지,완결판타지",121
귀각시,9.97,세정,세정,2019,스토리,로맨스,12세 이용가,어느날 귀신처럼 나타난 기신자신의 각시가 되겠냐는 알 수 없는 말을 하는데...갑자기 보이게된 귀신들은 은아를 잡아먹겠다며 달려들기 시작한다.,"인외존재,삼각관계,로맨스,완결로맨스",122
놓지마 정신줄 시즌2,9.95,신태훈,나승훈,2019,에피소드,개그,전체연령가,"정신, 정주리 남매와 독특한 주변 인물들의정신줄 놓게 만드는 다양한 에피소드들!본격 유체이탈 예방 프로젝트 '놓지마 정신줄'을 이제 컷툰으로 만나보세요","드라마&영화 원작웹툰,개그,완결무료,완결개그",123
10월 28일,9.57,천정학,천정학,2018,스토리,스릴러,15세 이용가,"주인공 상길의 평범한 하루, 그 하루가 반복된다.","스릴러,완결스릴러",124
캐슬,9.97,정연,정연,2022,스토리,액션,15세 이용가,"복수를 위해 칼을 갈아온 특급 킬러 '김신',뒷세계 '절대권력'과의 목숨 건 한판 승부!","복수극,느와르,액션",125
그래서 나는 안티팬과 결혼했다,9.95,재림,김은정,2020,스토리,로맨스,전체연령가,세계적인 K-POP 스타 후준과 그의 공식 안티팬 이근영의24시간 밀착 동거 리얼리티 로맨스.※본 작품은 시리즈 오리지널 작품으로 네이버웹툰에서 듀얼연재됩니다.※,"드라마&영화 원작웹툰,연예계,로맨스,소설원작,완결로맨스",126
테러맨,9.96,한동우,고진호,2020,스토리,액션,15세 이용가,한 사람이라도 더 살릴 수 있다면 테러리스트가 되어도 상관없어.,"슈퍼스트링,힘숨찐,먼치킨,액션,완결액션",127
오빠 왔다,9.7,모나,모나,2016,에피소드,개그,전체연령가,"드라마나 영화에 나오던 착한오빠는 없다.
리얼 남매이야기 진짜 오빠가 왔다!","개그,완결무료,완결개그",128
회춘,9.73,기안84,기안84,2020,에피소드,드라마,15세 이용가,두 번의 청춘이 오는 세상에서살아가는 사람들 이야기.기안84 작가의 새로운 작품!,"드라마,완결무료,완결드라마",129
이두나!,9.73,민송아,민송아,2022,스토리,로맨스,12세 이용가,"(구)아이돌, 첫사랑, 소개팅녀까지 한 집에 모였다! <나노리스트> 민송아 작가의 두근두근 누나 리스트! 대학생 이원준은 개강을 맞아 셰어하우스에 입주한다. 은퇴한 아이돌 이두나가 아래층에 살고 있다는 것을 알게 되는데..","혐관로맨스,캠퍼스로맨스,연예계,연상연하,걸크러시,로맨스,완결로맨스",130
역전! 야매요리,9.83,정다정,정다정,2014,에피소드,개그,전체연령가,"그녀가 했으니 당신도 할 수 있다!실패가 두렵지 않은 발칙한 요리 도전기, 포토툰으로 만나다.","음식요리,개그,완결개그",131
열일곱,5.69,플레이리스트,플레이리스트,2017,스토리,로맨스,전체연령가,"가장 순수하고 찬란했던 시절, 열일곱 살의 넌 누굴 좋아했니?
우리를 설레게 했던 웹드라마 <열일곱>이 포토툰으로 찾아옵니다.","로맨스,완결무료,완결로맨스",132
천년구미호,9.96,기량,기량,2016,스토리,판타지,12세 이용가,세습무의 운명을 가진 소녀와 천년의 속박에서 벗어나기 위한 구미호이야기,"동양풍판타지,판타지,완결판타지",133
비질란테,9.98,CRG,김규삼,2021,스토리,액션,15세 이용가,법은 구멍이 나 있다. 내가 그 구멍을 메운다. 널 풀어준 법을 원망해라.,"직업드라마,사이다,다크히어로,느와르,액션,완결액션",134
결계녀,9.87,김태경,김태경,2019,스토리,로맨스,15세 이용가,"결계가 된 소녀, 소년을 지키다! 본격 미소녀 군단과 함께하는 셔틀남 탈출기!","로맨스,완결로맨스",135
남기한엘리트만들기,9.94,미티,미티,2011,옴니버스,드라마,전체연령가,"스물 일곱살, 공무원 시험 준비생 남기한! 어느 날 눈을 떠보니 16년전의 과거로 돌아가 초딩이 되었다!. 누구나 한번쯤 꿈꿔보는인생 다시 살기 프로젝트. 남기한 엘리트 만들기","레트로,드라마,완결드라마",136
2015 루키 단편선,9.92,웹툰작가,웹툰작가,2015,옴니버스,드라마,전체연령가,"전설 이현세, 이두호가 직접 프로듀싱한 신인 작가 단편선 시즌5!무시무시한 신인들이 몰려온다!","드라마,완결무료,완결드라마",137
지금 우리 학교는,9.56,주동근,주동근,2011,스토리,스릴러,18세 이용가,평범하던 학교에 벌어진 감금사건..그리고 감금사건에 가려 미처 알지 못한 감염자. 학교는 이미 감염자들로 인해 빠져나갈 곳이 없다!! 그리고....지금 우리학교는,,138
선천적 얼간이들,9.98,가스파드,가스파드,2018,에피소드,개그,전체연령가,뭘해도 안되는 얼간이 신인류가 떴다!낙천적 우유부단 가스파드와말초적 친구들의 좌충우돌 라이프,"병맛,개그,완결개그",139
이말년 서유기,8.87,이말년,이말년,2016,스토리,개그,전체연령가,이말년이 <서유기>라는 좋은 차에 무임승차한다!,"개그,완결개그",140
3인칭,9.94,꼬마비,애마비,2016,에피소드,드라마,18세 이용가,쉽지 않은 사랑 이야기.그녀를 찾아서..,,141
쌉니다 천리마마트,9.98,김규삼,김규삼,2018,스토리,개그,전체연령가,"""고객은 왕이 아니다, 직원이 왕이다!""병맛 드라마를 뛰어넘는 미친 상상력의 원작 웹툰","드라마&영화 원작웹툰,개그,완결개그",142
아기낳는만화,9.82,쇼쇼,쇼쇼,2018,스토리,일상,전체연령가,임신과 출산에 대해 아무것도 몰랐던 나... 반성합니다.엄청난 변화와 위기를 몰고온 진짜 임신 충격 실화!,"일상,완결일상",143
체크포인트,9.96,송가,은소,2020,스토리,드라마,12세 이용가,내 인생에 세이브 포인트가 있다면?하루에도 수십 번씩 시간을 되돌리는 남자.,드라마,144
버닝헬,9.95,윤인완,양경일,2015,스토리,판타지,15세 이용가,"<신암행어사> 윤인완, 양경일 콤비가 다시 뭉쳤다! 지상 최악의 섬에서 펼쳐지는 두 살인귀의 처절한 사투!","슈퍼스트링,판타지,완결판타지",145
고고고,9.97,정은경,하일권,2015,스토리,판타지,전체연령가,"치매 걸린 할아버지, 게임 폐인 아빠와 살고 있는 고민
원효대사가 남긴 해골물을 찾아달라는 의뢰를 받고
삼부자가 떠나게 되는데...","판타지,완결무료,완결판타지",146
백수세끼,9.84,치즈,치즈,2022,스토리,드라마,전체연령가,백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!,"음식요리,감성드라마,드라마",147
덴마,9.54,양영순,양영순,2019,옴니버스,판타지,15세 이용가,특수능력을 지닌 악당 덴마가꼬마의 몸에 갇혀 우주택배 업무를 하며 겪는 기상천외한 모험이야기.,"판타지,완결판타지",148
라크리모사,9.69,임인스,임인스,2015,스토리,판타지,12세 이용가,"싸우자 귀신아, 그 마지막 이야기","판타지,완결무료,완결판타지",149
레사 시즌2~3,9.97,POGO,POGO,2020,스토리,판타지,12세 이용가,"어둠을 따르는 자와, 빛을 따르려는 자. 마침내 모두에게 공평한 멸망의 때가 왔다...! 멸망을 막기 위한 신들의 전쟁.","먼치킨,판타지,완결판타지",150
우리 오빠는 아이돌,9.92,성은,성은,2020,스토리,로맨스,전체연령가,"덕계못이라고?! 집념의 덕후 남다름, 오빠의 회사에 취직하다!","연예계,로맨스,완결로맨스",151
마녀사냥,9.95,박소,박소,2016,스토리,드라마,12세 이용가,마녀와 악마. 마지막에 살아남는 건 누구인가?<2013 대학만화 최강자전> 8강 진출작!,"최강자전,2013 최강자전,드라마,완결드라마",152
신석기녀,9.97,재아,한가람,2019,스토리,액션,12세 이용가,불로불사 소녀와 시한부 청년의 피튀기는 로맨스,"슈퍼스트링,액션,완결액션",153
소울카르텔,9.96,하람,지야,2016,스토리,판타지,12세 이용가,"소년과 악마의 계약으로 시작된, 사후세계에서 벌어지는 모험 액션 판타지.","판타지,완결판타지",154
소곤소곤,9.97,옛사람,옛사람,2016,옴니버스,스릴러,12세 이용가,당신의 귓가에 속삭일 기묘한 이야기,"스릴러,완결스릴러",155
유미의 세포들 외전 : 프로 직장인,9.96,이동건,이동건,2021,스토리,로맨스,전체연령가,"<유미의 세포들> 드라마화 기념 특별외전. ‘대한국수’ 회사원 시절 유미의 숨겨진 이야기!직장인 스킬을 자유자재로 사용하며 살아남는 업무력 만렙 김유미.어느 날 나타난 한 신입사원 앞에서는 이상하게 스킬이 발동되지 않는다.전남친과 이름이 똑같은 그 남자, 우기.","프리퀄,로맨스,완결무료,완결로맨스",156
알고있지만,9.97,정서,정서,2019,스토리,로맨스,15세 이용가,"""넌 내가 나비라는걸 알고 있잖아.""알면서도 빠지고 싶은 사랑<투명한 동거> 정서 작가의 신작","드라마&영화 원작웹툰,로맨스,완결로맨스",157
개장수,9.97,김규삼,김규삼,2019,스토리,판타지,15세 이용가,"역대급 판타지스릴러 <하이브>의 프리퀄! 곤충에게 지배당한 세상, 그 시작과 끝에 개장수가 있다.","프리퀄,아포칼립스,느와르,판타지,완결무료,완결판타지",158
남주의 첫날밤을 가져버렸다,9.98,티바,MSG,2022,스토리,로맨스,15세 이용가,소설 속 엑스트라인 백작 영애 리플리로 빙의 된 여주인공.이왕 이렇게 된 거 전생에 경험하지 못한 귀족의 화려하고 풍족한 삶을 만끽하기로 한다.파티장 구석에서 혼자 술을 즐긴 것까진 기억나는데… 다음날 깨어보니 남주의 침대에 누워있는 것 아닌가!,"선결혼후연애,빙의,로판,까칠남,로맨스,소설원작,완결로맨스",159
파도의 주인,9.98,이뫄,이뫄,2017,스토리,판타지,전체연령가,환상처럼 나타난 두 개의 섬그곳에서 나를 맞은 것은 기이한 피부와 붉은 눈을 가진 남자였다.,"판타지,완결판타지",160
한림체육관,9.75,혜성,이석재,2022,에피소드,액션,15세 이용가,'세상에서 가장 강한 남자가 되고 싶다.'그릇된 강함을 실천하던 전영하가 한림체육관에 들어와 진정한 강함을 깨닫고 무도인으로 거듭나는 학원 액션물,"블루스트링,슈퍼스트링,학원물,소년왕도물,액션",161
DEY 호러채널,9.95,DEY,DEY,2017,옴니버스,스릴러,18세 이용가,[데드데이즈] DEY작가의 새로운 공포 단편선기발하고 소름 돋는 무서운 이야기들로 만들어 낸 실험적인 옴니버스 공포웹툰.효과툰을 활용한 절묘한 연출로 다채로운 공포를 보여준다.,,162
천적,9.83,꼬마비,재수,2016,옴니버스,일상,12세 이용가,일반 사람들의 일상 대결이 펼쳐진다 무규칙 일상 배틀 생중계!,"일상,완결일상",163
3단합체김창남,9.95,하일권,하일권,2008,스토리,드라마,전체연령가,삼봉이발소의 하일권이 돌아왔다.본격 SF청춘만화,"드라마,완결드라마",164
트라우마,9.92,곽백수,곽백수,2008,에피소드,개그,12세 이용가,"황당하고 골 때리는 반전! 
Trauma(-정신적 외상)를 입을 만한 초특급 코믹 펀치! 직접 확인하세요","개그,완결무료,완결개그",165
머니게임,9.95,배진수,배진수,2020,스토리,스릴러,15세 이용가,게임 일수 100일. 총 상금 448억. 적용 물가 1000배. 당신은 얼마를 벌어 나갈수 있습니까?,"스릴러,완결스릴러",166
유일무이 로맨스,9.98,두부,두부,2021,스토리,로맨스,12세 이용가,평범한 취준생 공유일의 일상에 인기절정 탑배우 탁무이와 아이돌 류민이 침범해오기 시작했다! 사심가득 탑스타♥,"연예계,삼각관계,로맨스,완결로맨스",167
감염자,9.95,이강,이강,2018,스토리,스릴러,18세 이용가,사람을 잡아먹는 괴물 '감염자'나는 괴물이 되었다.,,168
초인의 시대,9.94,섭이,섭이,2022,스토리,액션,15세 이용가,"지구에 근원 모를 괴물들이 출현하고그들을 제압하는 '초인'들 또한 등장한다.정체불명의 괴물과 초인, 바야흐로 '초인의 시대'가 도래한다!","최강자전,2018 최강자전,이능력배틀물,소년왕도물,액션",169
오늘부터 주군,9.64,박카린,박카린,2017,스토리,드라마,전체연령가,"문제 고딩 해도영, 왕세자로 부활!? 당황스러운 시대에 만난 당황스러운 사람들의 코믹 판타지 드라마!","드라마,완결드라마",170
닥터 프로스트 시즌 3~4,9.97,이종범,이종범,2021,스토리,드라마,15세 이용가,세상으로부터의 무력감. 엄습하는 두려움. 또다시 덧씌운 분노.끝없는 혐오의 고리로 만들어진 지옥도가 펼쳐진 대한민국.닥터프로스트와 그의 제자 윤성아가 거대한 음모를 막아선다.,"드라마&영화 원작웹툰,의학드라마,드라마,완결드라마",171
공감.jpg,4.45,임총,임총,2017,에피소드,개그,전체연령가,"""이거 나만 그런거 아니지?""응, 너만 그런거 아니야. 반박불가 공감이 밀려온다.","개그,완결무료,완결개그",172
공대생 너무만화,9.97,최삡뺩,최삡뺩,2018,스토리,개그,전체연령가,"평범한(?) 문과생, 공대생이 되다최삡뺩 작가의 신작","개그,완결개그",173
화장 지워주는 남자,9.94,이연,이연,2020,에피소드,드라마,전체연령가,밋밋한 얼굴의 대학생이 천재 메이크업 아티스트의 뮤즈?!,"드라마,완결드라마",174
하루 3컷,9.91,배진수,배진수,2018,옴니버스,일상,12세 이용가,당신의 하루 중 가장 가벼운 3초.,"일상,완결무료,완결일상",175
